oneday,dow,hour,steps,week_weekend
2015-03-03,Tues,21,38,Weekday
2015-03-03,Tues,22,195,Weekday
2015-03-04,Wed,10,0,Weekday
2015-03-04,Wed,11,2420,Weekday
2015-03-04,Wed,12,4234,Weekday
2015-03-04,Wed,13,6118,Weekday
2015-03-04,Wed,14,7839,Weekday
2015-03-04,Wed,15,8047,Weekday
2015-03-04,Wed,16,9660,Weekday
2015-03-04,Wed,17,10622,Weekday
2015-03-04,Wed,18,11804,Weekday
2015-03-04,Wed,19,12981,Weekday
2015-03-04,Wed,20,13455,Weekday
2015-03-04,Wed,21,14136,Weekday
2015-03-04,Wed,22,14136,Weekday
2015-03-04,Wed,23,14136,Weekday
2015-03-05,Thurs,10,0,Weekday
2015-03-05,Thurs,11,807,Weekday
2015-03-05,Thurs,12,3052,Weekday
2015-03-05,Thurs,13,4081,Weekday
2015-03-05,Thurs,14,4924,Weekday
2015-03-05,Thurs,15,6447,Weekday
2015-03-05,Thurs,16,6857,Weekday
2015-03-05,Thurs,17,8138,Weekday
2015-03-05,Thurs,18,9892,Weekday
2015-03-05,Thurs,19,11232,Weekday
2015-03-05,Thurs,20,11232,Weekday
2015-03-05,Thurs,21,11248,Weekday
2015-03-06,Fri,8,0,Weekday
2015-03-06,Fri,9,117,Weekday
2015-03-06,Fri,10,2033,Weekday
2015-03-06,Fri,11,2663,Weekday
2015-03-06,Fri,12,3644,Weekday
2015-03-06,Fri,13,4244,Weekday
2015-03-06,Fri,14,4975,Weekday
2015-03-06,Fri,15,5900,Weekday
2015-03-06,Fri,16,7019,Weekday
2015-03-06,Fri,17,7781,Weekday
2015-03-06,Fri,18,7837,Weekday
2015-03-06,Fri,19,8805,Weekday
2015-03-06,Fri,20,10801,Weekday
2015-03-06,Fri,21,10828,Weekday
2015-03-06,Fri,22,10828,Weekday
2015-03-06,Fri,23,12803,Weekday
2015-03-07,Sat,11,0,Weekend
2015-03-07,Sat,12,2975,Weekend
2015-03-07,Sat,13,8671,Weekend
2015-03-07,Sat,14,12147,Weekend
2015-03-07,Sat,15,14942,Weekend
2015-03-07,Sat,16,14942,Weekend
2015-03-07,Sat,17,14942,Weekend
2015-03-07,Sat,18,14991,Weekend
2015-03-07,Sat,19,15011,Weekend
2015-03-07,Sat,20,15011,Weekend
2015-03-07,Sat,21,15011,Weekend
2015-03-07,Sat,22,15011,Weekend
2015-03-07,Sat,23,15011,Weekend
2015-03-08,Sun,11,2181,Weekend
2015-03-08,Sun,12,2428,Weekend
2015-03-08,Sun,13,4809,Weekend
2015-03-08,Sun,14,5085,Weekend
2015-03-08,Sun,15,5245,Weekend
2015-03-08,Sun,16,5879,Weekend
2015-03-08,Sun,17,7114,Weekend
2015-03-08,Sun,18,7906,Weekend
2015-03-08,Sun,19,8360,Weekend
2015-03-08,Sun,20,8895,Weekend
2015-03-08,Sun,21,8998,Weekend
2015-03-08,Sun,22,9222,Weekend
2015-03-09,Mon,8,0,Weekday
2015-03-09,Mon,9,3087,Weekday
2015-03-09,Mon,10,3363,Weekday
2015-03-09,Mon,11,6805,Weekday
2015-03-09,Mon,12,9608,Weekday
2015-03-09,Mon,13,10194,Weekday
2015-03-09,Mon,14,11099,Weekday
2015-03-09,Mon,15,11330,Weekday
2015-03-09,Mon,16,11788,Weekday
2015-03-09,Mon,17,13287,Weekday
2015-03-09,Mon,18,15489,Weekday
2015-03-09,Mon,19,18161,Weekday
2015-03-09,Mon,20,20850,Weekday
2015-03-09,Mon,21,21452,Weekday
2015-03-10,Tues,7,0,Weekday
2015-03-10,Tues,8,2999,Weekday
2015-03-10,Tues,9,4181,Weekday
2015-03-10,Tues,10,4424,Weekday
2015-03-10,Tues,11,8202,Weekday
2015-03-10,Tues,12,9424,Weekday
2015-03-10,Tues,13,9789,Weekday
2015-03-10,Tues,14,13428,Weekday
2015-03-10,Tues,15,14783,Weekday
2015-03-10,Tues,16,16177,Weekday
2015-03-10,Tues,17,18259,Weekday
2015-03-10,Tues,18,19780,Weekday
2015-03-10,Tues,19,24671,Weekday
2015-03-10,Tues,20,25796,Weekday
2015-03-10,Tues,21,26139,Weekday
2015-03-10,Tues,22,27752,Weekday
2015-03-11,Wed,8,0,Weekday
2015-03-11,Wed,9,1841,Weekday
2015-03-11,Wed,10,3396,Weekday
2015-03-11,Wed,11,5011,Weekday
2015-03-11,Wed,12,6347,Weekday
2015-03-11,Wed,13,10421,Weekday
2015-03-11,Wed,14,12492,Weekday
2015-03-11,Wed,15,13160,Weekday
2015-03-11,Wed,16,15228,Weekday
2015-03-11,Wed,17,16572,Weekday
2015-03-11,Wed,18,17926,Weekday
2015-03-11,Wed,19,18505,Weekday
2015-03-11,Wed,20,18739,Weekday
2015-03-11,Wed,21,19080,Weekday
2015-03-11,Wed,22,19080,Weekday
2015-03-12,Thurs,11,0,Weekday
2015-03-12,Thurs,12,2936,Weekday
2015-03-12,Thurs,13,4165,Weekday
2015-03-12,Thurs,14,5194,Weekday
2015-03-12,Thurs,15,5998,Weekday
2015-03-12,Thurs,16,6036,Weekday
2015-03-12,Thurs,17,11143,Weekday
2015-03-12,Thurs,18,14348,Weekday
2015-03-12,Thurs,19,14353,Weekday
2015-03-12,Thurs,20,14362,Weekday
2015-03-12,Thurs,21,14366,Weekday
2015-03-13,Fri,8,0,Weekday
2015-03-13,Fri,9,3534,Weekday
2015-03-13,Fri,10,3884,Weekday
2015-03-13,Fri,11,3889,Weekday
2015-03-13,Fri,12,4384,Weekday
2015-03-13,Fri,13,6884,Weekday
2015-03-13,Fri,14,7226,Weekday
2015-03-13,Fri,15,18537,Weekday
2015-03-13,Fri,16,22435,Weekday
